dataset,seed,batch,domain_auc,threshold,mean_density_weight,min_density_weight,median_density_weight,max_density_weight,low_clip_fraction,high_clip_fraction
SECOM,37,6,0.9991154356479433,0.1334354570919276,0.4727517820113051,0.05,0.382170639765417,2.3693538676505455,0.005,0.0
SECOM,37,7,0.9938080495356036,0.1334354570919276,0.46807632061835636,0.05,0.36881847783347493,2.5206321259436746,0.01,0.0
SECOM,37,8,0.9974937343358397,0.1334354570919276,0.49319791971937993,0.05,0.401676015263598,3.4451338388147734,0.0025,0.0
SECOM,37,9,0.9936310541498611,0.1334354570919276,0.4792178956619027,0.05,0.3969244607584481,2.2124511843265213,0.0025,0.0
SECOM,37,10,0.9973302164542172,0.1334354570919276,0.4772096108994514,0.05,0.39910248208706445,2.778761576630255,0.0075,0.0
SECOM,37,11,0.9949874686716792,0.1334354570919276,0.4692752731084467,0.05,0.40461320737041057,2.2131981312233786,0.01,0.0
SECOM,37,12,0.997641161727849,0.1334354570919276,0.46346231721892145,0.05,0.3816355434909815,2.115859056820393,0.0075,0.0
SECOM,37,13,0.9995335820895522,0.1334354570919276,0.4541249802892142,0.05,0.3643829585788091,3.5802543109244755,0.0075,0.0
SECOM,37,14,0.9964617425917736,0.1334354570919276,0.4604487019532408,0.05,0.36383720803427444,2.304976692195074,0.005,0.0
SECOM,37,15,0.9954051796157058,0.1334354570919276,1.651338058240809,0.3963681974338625,1.534045640893841,5.493470819073555,0.0,0.0
SECOM,47,0,0.9673485458598208,0.12252009882102755,0.6109683968624506,0.05,0.43400467138525406,7.4434309173395174,0.0125,0.0
SECOM,47,1,0.9439906559638782,0.12252009882102755,0.580411633563007,0.05,0.4216948977911289,4.588874094959471,0.0075,0.0
SECOM,47,2,0.9944834375226916,0.12252009882102755,0.4703310128273098,0.05,0.36370554491364876,2.380456099412686,0.005,0.0
SECOM,47,3,0.9954967257916522,0.12252009882102755,0.4608220378954613,0.05,0.38208732906022436,2.896878140746557,0.0075,0.0
SECOM,47,4,0.9923337756155094,0.1265191481377239,0.4845551950290882,0.05,0.38469180726407975,3.3012918282755956,0.0075,0.0
SECOM,47,5,0.9961105710941092,0.1265191481377239,0.46956390012354277,0.05,0.38273132859805936,2.636002965759938,0.005,0.0
SECOM,47,6,0.9991154356479434,0.1265191481377239,0.4727517820113051,0.05,0.382170639765417,2.3693538676505455,0.005,0.0
SECOM,47,7,0.9990832546687174,0.1265191481377239,0.46807632061835636,0.05,0.36881847783347493,2.5206321259436746,0.01,0.0
SECOM,47,8,0.9942181507324062,0.12252009882102755,0.49319791971937993,0.05,0.401676015263598,3.4451338388147734,0.0025,0.0
SECOM,47,9,0.9972175830269263,0.1265191481377239,0.4792178956619027,0.05,0.3969244607584481,2.2124511843265213,0.0025,0.0
SECOM,47,10,0.9929019624346203,0.1265191481377239,0.4772096108994514,0.05,0.39910248208706445,2.778761576630255,0.0075,0.0
SECOM,47,11,0.9903071990775887,0.1265191481377239,0.4692752731084467,0.05,0.40461320737041057,2.2131981312233786,0.01,0.0
SECOM,47,12,0.9970514521598113,0.1265191481377239,0.46346231721892145,0.05,0.3816355434909815,2.115859056820393,0.0075,0.0
SECOM,47,13,0.9970434069150048,0.1265191481377239,0.4541249802892142,0.05,0.3643829585788091,3.5802543109244755,0.0075,0.0
SECOM,47,14,0.9904172195193867,0.1265191481377239,0.4604487019532408,0.05,0.36383720803427444,2.304976692195074,0.005,0.0
SECOM,47,15,0.9936545343458149,0.1265191481377239,1.651338058240809,0.3963681974338625,1.534045640893841,5.493470819073555,0.0,0.0
AI4I,7,0,0.8975316153087562,0.06815300330667044,1.719762153768088,0.12386242148299963,1.197000101877424,13.718421826559688,0.0,0.0
AI4I,7,1,0.898429704508283,0.062147770551518315,1.7070827326526812,0.20030754915041235,1.0465270072092405,6.9190358521563,0.0,0.0
